date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-10,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-11,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-12,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-13,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-14,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-15,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-16,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-17,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-18,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-19,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-20,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-21,09001,Fairfield,CT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-22,09001,Fairfield,CT,0,0,,,,,,2.35714,1.57143,3.53571,2.35714,1.57143,3.53571,2.49874e-06,1.66583e-06,3.74811e-06,2.35714,1.57143,3.53571,2.49874e-06,1.66583e-06,3.74811e-06
2020-02-23,09001,Fairfield,CT,0,0,,,,,,3.46429,2.30953,5.19643,5.82143,3.88096,8.73214,6.17113e-06,4.11409e-06,9.2567e-06,5.82143,3.88096,8.73214,6.17113e-06,4.11409e-06,9.2567e-06
2020-02-24,09001,Fairfield,CT,0,0,,,,,,5.2619,3.50793,7.89286,11.0833,7.38889,16.625,1.17491e-05,7.83276e-06,1.76237e-05,11.0833,7.38889,16.625,1.17491e-05,7.83276e-06,1.76237e-05
2020-02-25,09001,Fairfield,CT,0,0,,,,,,8.23214,5.48809,12.3482,19.3155,12.877,28.9732,2.04758e-05,1.36505e-05,3.07137e-05,19.3155,12.877,28.9732,2.04758e-05,1.36505e-05,3.07137e-05
2020-02-26,09001,Fairfield,CT,0,0,,,,,,12.8,8.53333,19.2,32.1155,21.4103,48.1732,3.40447e-05,2.26965e-05,5.10671e-05,32.1155,21.4103,48.1732,3.40447e-05,2.26965e-05,5.10671e-05
2020-02-27,09001,Fairfield,CT,0,0,,,,,,15.6667,10.4444,23.5,47.7821,31.8548,71.6732,5.06525e-05,3.37683e-05,7.59788e-05,47.7821,31.8548,71.6732,5.06525e-05,3.37683e-05,7.59788e-05
2020-02-28,09001,Fairfield,CT,0,0,,,,,,21.4184,14.2789,32.1276,69.2005,46.1337,103.801,7.33575e-05,4.8905e-05,0.000110036,69.2005,46.1337,103.801,7.33575e-05,4.8905e-05,0.000110036
2020-02-29,09001,Fairfield,CT,0,0,,,,,,35.1003,23.4002,52.6504,104.301,69.5339,156.451,0.000110566,7.37109e-05,0.00016585,104.301,69.5339,156.451,0.000110566,7.37109e-05,0.00016585
2020-03-01,09001,Fairfield,CT,0,0,,,,,,58.2352,38.8234,87.3529,162.536,108.357,243.804,0.0001723,0.000114867,0.00025845,162.536,108.357,243.804,0.0001723,0.000114867,0.00025845
2020-03-02,09001,Fairfield,CT,0,0,,,,,,80.9699,53.9799,121.455,243.506,162.337,365.259,0.000258134,0.000172089,0.000387201,243.506,162.337,365.259,0.000258134,0.000172089,0.000387201
2020-03-03,09001,Fairfield,CT,0,0,,,,,,107.605,71.7366,161.407,351.111,234.074,526.666,0.000372203,0.000248135,0.000558304,351.111,234.074,526.666,0.000372203,0.000248135,0.000558304
2020-03-04,09001,Fairfield,CT,0,0,,,,,,127.187,84.791,190.78,478.297,318.865,717.446,0.00050703,0.00033802,0.000760545,478.297,318.865,717.446,0.00050703,0.00033802,0.000760545
2020-03-05,09001,Fairfield,CT,0,0,,,,,,164.258,109.505,246.387,642.555,428.37,963.833,0.000681155,0.000454103,0.00102173,642.555,428.37,963.833,0.000681155,0.000454103,0.00102173
2020-03-06,09001,Fairfield,CT,0,0,,,,,,205.452,136.968,308.178,848.007,565.338,1272.01,0.000898949,0.000599299,0.00134842,848.007,565.338,1272.01,0.000898949,0.000599299,0.00134842
2020-03-07,09001,Fairfield,CT,0,0,,,,,,256.576,171.051,384.864,1104.58,736.388,1656.87,0.00117094,0.000780625,0.00175641,1104.58,736.388,1656.87,0.00117094,0.000780625,0.00175641
2020-03-08,09001,Fairfield,CT,0,0,,,,,,320.565,213.71,480.847,1422.79,948.527,2134.19,0.00150826,0.00100551,0.00226239,1425.15,950.098,2137.72,0.00151076,0.00100717,0.00226614
2020-03-09,09001,Fairfield,CT,0,0,,,,,,391.592,261.061,587.388,1810.92,1207.28,2716.38,0.0019197,0.0012798,0.00287956,1816.74,1211.16,2725.11,0.00192588,0.00128392,0.00288881
