date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-10,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-11,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-12,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-13,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-14,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-15,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-16,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-17,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-18,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-19,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-20,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-21,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-22,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-23,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-24,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-25,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-26,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-27,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-28,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-29,50001,Addison,VT,0,0,,,,,,,,,,,,,,,,,,,,
2020-03-01,50001,Addison,VT,0,0,,,,,,1.78571,1.19048,2.67857,1.78571,1.19048,2.67857,4.85552e-05,3.23701e-05,7.28328e-05,1.78571,1.19048,2.67857,4.85552e-05,3.23701e-05,7.28328e-05
2020-03-02,50001,Addison,VT,0,0,,,,,,1.75,1.16667,2.625,3.53571,2.35714,5.30357,9.61393e-05,6.40928e-05,0.000144209,3.53571,2.35714,5.30357,9.61393e-05,6.40928e-05,0.000144209
2020-03-03,50001,Addison,VT,0,0,,,,,,1.71429,1.14286,2.57143,5.25,3.5,7.875,0.000142752,9.51682e-05,0.000214128,5.25,3.5,7.875,0.000142752,9.51682e-05,0.000214128
2020-03-04,50001,Addison,VT,0,0,,,,,,2.46429,1.64286,3.69643,7.71429,5.14286,11.5714,0.000209758,0.000139839,0.000314638,7.71429,5.14286,11.5714,0.000209758,0.000139839,0.000314638
2020-03-05,50001,Addison,VT,0,0,,,,,,2.87143,1.91429,4.30714,10.5857,7.05714,15.8786,0.000287835,0.00019189,0.000431753,10.5857,7.05714,15.8786,0.000287835,0.00019189,0.000431753
2020-03-06,50001,Addison,VT,0,0,,,,,,3.82143,2.54762,5.73214,14.4071,9.60476,21.6107,0.000391743,0.000261162,0.000587615,14.4071,9.60476,21.6107,0.000391743,0.000261162,0.000587615
2020-03-07,50001,Addison,VT,0,0,,,,,,4.82653,3.21769,7.2398,19.2337,12.8224,28.8505,0.000522981,0.000348654,0.000784472,19.2337,12.8224,28.8505,0.000522981,0.000348654,0.000784472
2020-03-08,50001,Addison,VT,0,0,,,,,,6.04082,4.02721,9.06122,25.2745,16.8497,37.9117,0.000687236,0.000458157,0.00103085,25.2745,16.8497,37.9117,0.000687236,0.000458157,0.00103085
2020-03-09,50001,Addison,VT,0,0,,,,,,7.70408,5.13605,11.5561,32.9786,21.9857,49.4679,0.000896717,0.000597811,0.00134508,32.9786,21.9857,49.4679,0.000896717,0.000597811,0.00134508
2020-03-10,50001,Addison,VT,0,0,,,,,,9.42857,6.28571,14.1429,42.4071,28.2714,63.6107,0.00115309,0.000768726,0.00172963,42.4071,28.2714,63.6107,0.00115309,0.000768726,0.00172963
2020-03-11,50001,Addison,VT,0,0,,,,,,10.5918,7.06122,15.8878,52.999,35.3327,79.4985,0.00144109,0.000960727,0.00216164,52.999,35.3327,79.4985,0.00144109,0.000960727,0.00216164
2020-03-12,50001,Addison,VT,0,0,,,,,,11.949,7.96599,17.9235,64.948,43.2986,97.4219,0.00176599,0.00117733,0.00264899,64.948,43.2986,97.4219,0.00176599,0.00117733,0.00264899
2020-03-13,50001,Addison,VT,0,0,,,,,,12.2457,8.16383,18.3686,77.1937,51.4625,115.791,0.00209897,0.00139931,0.00314845,77.1937,51.4625,115.791,0.00209897,0.00139931,0.00314845
2020-03-14,50001,Addison,VT,0,0,,,,,,12.7548,8.50322,19.1322,89.9485,59.9657,134.923,0.00244578,0.00163052,0.00366867,89.9485,59.9657,134.923,0.00244578,0.00163052,0.00366867
2020-03-15,50001,Addison,VT,0,0,,,,,,13.3367,8.89113,20.005,103.285,68.8568,154.928,0.00280842,0.00187228,0.00421263,103.285,68.8568,154.928,0.00280842,0.00187228,0.00421263
2020-03-16,50001,Addison,VT,0,0,,,,,,13.5746,9.04971,20.3618,115.074,76.716,172.611,0.00312897,0.00208598,0.00469345,116.86,77.9065,175.29,0.00317752,0.00211835,0.00476628
2020-03-17,50001,Addison,VT,0,0,,,,,,14.3685,9.57899,21.5527,127.693,85.1284,191.539,0.00347208,0.00231472,0.00520811,131.228,87.4855,196.842,0.00356822,0.00237881,0.00535232
2020-03-18,50001,Addison,VT,1,0,0.142857,0,12.5,8.33333,18.75,15.3777,10.2518,23.0666,141.356,94.2373,212.034,0.0038436,0.0025624,0.0057654,146.606,97.7373,219.909,0.00398635,0.00265757,0.00597952
2020-03-19,50001,Addison,VT,1,0,0.142857,0,12,8,18,16.7877,11.1918,25.1815,155.679,103.786,233.519,0.00423306,0.00282204,0.00634959,163.394,108.929,245.09,0.00444282,0.00296188,0.00666423
2020-03-20,50001,Addison,VT,1,0,0.142857,0,11.5,7.66667,17.25,18.5915,12.3943,27.8873,171.4,114.266,257.099,0.00466051,0.003107,0.00699076,181.985,121.323,272.978,0.00494834,0.0032989,0.00742251
2020-03-21,50001,Addison,VT,3,0,0.428571,0,11,7.33333,16.5,19.8784,13.2523,29.8176,187.456,124.971,281.185,0.00509711,0.00339807,0.00764566,201.864,134.576,302.795,0.00548885,0.00365924,0.00823328
