date,fips,county,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean
2020-12-14,47147,Robertson,TN,71813,278.065,0.0701081,0.291872
2020-12-14,42051,Fayette,PA,129274,450.662,0.0701052,0.161478
2020-12-14,47121,Meigs,TN,12422,42.278,0.0700814,0.2388
2020-12-14,28145,Union,MS,28815,108.528,0.069873,0.354234
2020-12-14,47129,Morgan,TN,21403,72.8675,0.0698075,0.216423
2020-12-14,06005,Amador,CA,39752,142.912,0.069654,0.163257
2020-12-14,40151,Woods,OK,8793,53.0784,0.0696317,0.325256
2020-12-14,47049,Fentress,TN,18523,68.9455,0.0693922,0.31053
2020-12-14,31097,Johnson,NE,5071,13.391,0.069258,0.299873
2020-12-14,08073,Lincoln,CO,5701,11.0537,0.0690664,0.388835
2020-12-14,16003,Adams,ID,4294,22.9572,0.0685778,0.176153
2020-12-14,48359,Oldham,TX,2112,17.5387,0.0685407,0.224407
2020-12-14,47099,Lawrence,TN,44142,156.246,0.06814,0.311189
2020-12-14,47105,Loudon,TN,54068,217.543,0.0679062,0.239336
2020-12-14,47031,Coffee,TN,56520,176.26,0.0676791,0.268711
2020-12-14,47077,Henderson,TN,28117,112.061,0.067128,0.327107
2020-12-14,20157,Republic,KS,4636,15.8843,0.0670138,0.391681
2020-12-14,06109,Tuolumne,CA,54478,230.85,0.0657447,0.143022
2020-12-14,40103,Noble,OK,11131,38.5955,0.0656036,0.280734
2020-12-14,47145,Roane,TN,53382,183.51,0.0651776,0.246168
2020-12-14,47123,Monroe,TN,46545,178.444,0.0650436,0.254109
2020-12-14,31105,Kimball,NE,3632,6.32491,0.0650143,0.273416
2020-12-14,20127,Morris,KS,5620,10.883,0.0650132,0.222624
2020-12-14,28061,Jasper,MS,16383,72.0648,0.0649075,0.318563
2020-12-14,04023,Santa Cruz,AZ,46498,179.322,0.0647674,0.456846
2020-12-14,47141,Putnam,TN,80245,289.259,0.0640642,0.345058
2020-12-14,47059,Greene,TN,69069,227.431,0.0638863,0.246469
2020-12-14,47063,Hamblen,TN,64934,225.071,0.0638731,0.282114
2020-12-14,39175,Wyandot,OH,21772,76.869,0.0633683,0.226822
2020-12-14,21207,Russell,KY,17923,26.7364,0.0633449,0.191792
2020-12-14,47001,Anderson,TN,76978,247.547,0.0633205,0.225628
2020-12-14,51640,Galax,VA,6347,26.2541,0.0631679,0.437972
2020-12-14,48197,Hardeman,TX,3933,4.60594,0.0631341,0.211415
2020-12-14,48137,Edwards,TX,1932,2.19234,0.0630963,0.33506
2020-12-14,40005,Atoka,OK,13758,45.6807,0.0630239,0.296257
2020-12-14,28087,Lowndes,MS,58595,242.549,0.0628077,0.267902
2020-12-14,47033,Crockett,TN,14230,43.7084,0.0627898,0.358816
2020-12-14,47029,Cocke,TN,36004,135.26,0.0625647,0.242298
2020-12-14,48101,Cottle,TX,1398,3.29965,0.0623849,0.352827
2020-12-14,28115,Pontotoc,MS,32174,139.588,0.0622633,0.361353
2020-12-14,47053,Gibson,TN,49133,173.105,0.0621683,0.318093
2020-12-14,47003,Bedford,TN,49713,144.215,0.0621056,0.294961
2020-12-14,40035,Craig,OK,14142,41.4076,0.0620766,0.327236
2020-12-14,47011,Bradley,TN,108110,330.209,0.0618902,0.26479
2020-12-14,51580,Covington,VA,5538,14.5507,0.0615925,0.191608
2020-12-14,20205,Wilson,KS,8525,23.4609,0.0614461,0.23056
2020-12-14,08075,Logan,CO,22409,62.5354,0.06134,0.489349
2020-12-14,20145,Pawnee,KS,6414,26.7645,0.0613089,0.509769
2020-12-14,06065,Riverside,CA,2.47055e+06,9244.56,0.0612449,0.206244
2020-12-14,47137,Pickett,TN,5048,19.4669,0.0608888,0.337593
2020-12-14,05149,Yell,AR,21341,76.2937,0.060801,0.38396
2020-12-14,08089,Otero,CO,18278,37.2142,0.0607402,0.247433
2020-12-14,47043,Dickson,TN,53948,176.264,0.0604843,0.271794
2020-12-14,28139,Tippah,MS,22015,69.1289,0.0603473,0.338286
2020-12-14,46041,Dewey,SD,5892,12.1842,0.0603101,0.726274
2020-12-14,21199,Pulaski,KY,64979,117.498,0.060206,0.171791
2020-12-14,47189,Wilson,TN,144657,490.506,0.0600639,0.272691
2020-12-14,47159,Smith,TN,20157,58.4686,0.0600559,0.326966
2020-12-14,13313,Whitfield,GA,104628,345.746,0.0597909,0.368513
2020-12-14,01025,Clarke,AL,23622,51.7636,0.0596563,0.331273
2020-12-14,47057,Grainger,TN,23320,68.8357,0.059607,0.236095
2020-12-14,47185,White,TN,27345,82.3574,0.05959,0.311433
2020-12-14,40029,Coal,OK,5495,19.0054,0.0595898,0.269932
2020-12-14,47119,Maury,TN,96387,317.306,0.0595308,0.299783
2020-12-14,48087,Collingsworth,TX,2920,3.94621,0.0594246,0.243559
2020-12-14,42081,Lycoming,PA,113299,384.313,0.0591727,0.154943
2020-12-14,32027,Pershing,NV,6725,9.89532,0.0591276,0.167414
2020-12-14,48195,Hansford,TX,5399,17.0112,0.0589215,0.36111
2020-12-14,40071,Kay,OK,43538,158.85,0.0586953,0.237428
2020-12-14,42039,Crawford,PA,84629,189.165,0.0585131,0.172102
2020-12-14,47117,Marshall,TN,34375,117.844,0.0584594,0.255102
2020-12-14,42023,Cameron,PA,4447,11.2675,0.0584012,0.095462
2020-12-14,05043,Drew,AR,18219,54.0231,0.0582696,0.258924
2020-12-14,01065,Hale,AL,14651,54.8774,0.0581319,0.328358
2020-12-14,47021,Cheatham,TN,40667,132.005,0.0578761,0.221329
2020-12-14,47051,Franklin,TN,42208,137.613,0.0577239,0.256876
2020-12-14,28017,Chickasaw,MS,17103,60.3469,0.0576914,0.360625
2020-12-14,18023,Clinton,IN,32399,98.3773,0.0573605,0.300018
2020-12-14,40043,Dewey,OK,4891,12.8429,0.0573469,0.271123
2020-12-14,47107,McMinn,TN,53794,156.459,0.0571134,0.253658
2020-12-14,17193,White,IL,13537,35.7762,0.0570672,0.225611
2020-12-14,40107,Okfuskee,OK,11993,37.8924,0.0568832,0.366249
2020-12-14,51678,Lexington,VA,7446,35.1936,0.0567714,0.229952
2020-12-14,06037,Los Angeles,CA,1.00391e+07,37216.6,0.0566707,0.219303
2020-12-14,28037,Franklin,MS,7713,24.3382,0.0566208,0.284165
2020-12-14,01055,Etowah,AL,102268,347.098,0.0566066,0.313109
2020-12-14,28159,Winston,MS,17955,69.5505,0.0564498,0.390628
2020-12-14,30037,Golden Valley,MT,821,1.18989,0.0563116,0.17306
2020-12-14,48283,La Salle,TX,7520,17.8947,0.0562522,0.309886
2020-12-14,47061,Grundy,TN,13427,42.0543,0.0561738,0.276569
2020-12-14,21235,Whitley,KY,36264,88.1499,0.0561049,0.222127
2020-12-14,47149,Rutherford,TN,332285,974.767,0.0560971,0.274494
2020-12-14,48263,Kent,TX,762,0.876936,0.0560903,0.244608
2020-12-14,17017,Cass,IL,12147,31.1141,0.0560573,0.375885
2020-12-14,12007,Bradford,FL,28201,141.289,0.0560244,0.239749
2020-12-14,54029,Hancock,WV,28810,84.413,0.0559579,0.165508
2020-12-14,20125,Montgomery,KS,31829,88.5966,0.055849,0.204884
2020-12-14,51021,Bland,VA,6280,11.4832,0.0558229,0.214199
2020-12-14,47071,Hardin,TN,25652,73.0049,0.0556654,0.317923
2020-12-14,40115,Ottawa,OK,31127,100.233,0.0556543,0.278307
2020-12-14,05041,Desha,AR,11361,32.8599,0.0554592,0.27314
2020-12-14,28011,Bolivar,MS,30628,122.481,0.0554048,0.427526
2020-12-14,06019,Fresno,CA,999101,3500.9,0.0553863,0.191978
2020-12-14,40099,Murray,OK,14073,50.7184,0.0552676,0.245407
2020-12-14,47035,Cumberland,TN,60520,186.925,0.05514,0.223737
2020-12-14,47133,Overton,TN,22241,71.605,0.0550956,0.298923
2020-12-14,40101,Muskogee,OK,67997,205.057,0.055059,0.305082
2020-12-14,20105,Lincoln,KS,2962,6.39442,0.0549836,0.204747
2020-12-14,06025,Imperial,CA,181215,463.239,0.0549415,0.386866
2020-12-14,42035,Clinton,PA,38632,123.81,0.0549312,0.149159
