date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-10,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-11,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-12,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-13,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-14,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-15,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-16,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-17,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-18,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-19,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-20,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-21,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-22,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-23,08001,Adams,CO,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-24,08001,Adams,CO,0,0,,,,,,4.9274,3.28491,7.39109,4.9274,3.28491,7.39109,9.523e-06,6.34863e-06,1.42845e-05,4.9274,3.28491,7.39109,9.523e-06,6.34863e-06,1.42845e-05
2020-02-25,08001,Adams,CO,0,0,,,,,,5.72335,3.81555,8.58503,10.6507,7.10046,15.9761,2.05843e-05,1.37228e-05,3.08764e-05,10.6507,7.10046,15.9761,2.05843e-05,1.37228e-05,3.08764e-05
2020-02-26,08001,Adams,CO,0,0,,,,,,7.95842,5.30561,11.9376,18.6092,12.4061,27.9138,3.59652e-05,2.39767e-05,5.39479e-05,18.6092,12.4061,27.9138,3.59652e-05,2.39767e-05,5.39479e-05
2020-02-27,08001,Adams,CO,0,0,,,,,,8.96882,5.9792,13.4532,27.578,18.3853,41.367,5.32989e-05,3.55325e-05,7.99484e-05,27.578,18.3853,41.367,5.32989e-05,3.55325e-05,7.99484e-05
2020-02-28,08001,Adams,CO,0,0,,,,,,10.2608,6.84051,15.3912,37.8388,25.2258,56.7581,7.31295e-05,4.87529e-05,0.000109694,37.8388,25.2258,56.7581,7.31295e-05,4.87529e-05,0.000109694
2020-02-29,08001,Adams,CO,0,0,,,,,,11.6459,7.76391,17.4688,49.4846,32.9897,74.227,9.56371e-05,6.37579e-05,0.000143456,49.4846,32.9897,74.227,9.56371e-05,6.37579e-05,0.000143456
2020-03-01,08001,Adams,CO,0,0,,,,,,12.5332,8.35546,18.7998,62.0178,41.3452,93.0268,0.00011986,7.99062e-05,0.000179789,62.0178,41.3452,93.0268,0.00011986,7.99062e-05,0.000179789
2020-03-02,08001,Adams,CO,0,0,,,,,,13.7885,9.19231,20.6827,75.8063,50.5375,113.709,0.000146508,9.76719e-05,0.000219762,75.8063,50.5375,113.709,0.000146508,9.76719e-05,0.000219762
2020-03-03,08001,Adams,CO,0,0,,,,,,14.9694,9.97959,22.4541,90.7757,60.5171,136.164,0.000175439,0.000116959,0.000263158,90.7757,60.5171,136.164,0.000175439,0.000116959,0.000263158
2020-03-04,08001,Adams,CO,0,0,,,,,,14.9898,9.9932,22.4847,105.765,70.5103,158.648,0.000204409,0.000136273,0.000306613,105.765,70.5103,158.648,0.000204409,0.000136273,0.000306613
2020-03-05,08001,Adams,CO,0,0,,,,,,15.8469,10.5646,23.7704,121.612,81.0749,182.419,0.000235036,0.00015669,0.000352554,121.612,81.0749,182.419,0.000235036,0.00015669,0.000352554
2020-03-06,08001,Adams,CO,0,0,,,,,,17.1122,11.4082,25.6684,138.725,92.483,208.087,0.000268108,0.000178738,0.000402162,138.725,92.483,208.087,0.000268108,0.000178738,0.000402162
2020-03-07,08001,Adams,CO,0,0,,,,,,17.7551,11.8367,26.6327,156.48,104.32,234.72,0.000302423,0.000201615,0.000453634,156.48,104.32,234.72,0.000302423,0.000201615,0.000453634
2020-03-08,08001,Adams,CO,0,0,,,,,,20.3469,13.5646,30.5204,176.827,117.884,265.24,0.000341746,0.000227831,0.000512619,176.827,117.884,265.24,0.000341746,0.000227831,0.000512619
2020-03-09,08001,Adams,CO,0,0,,,,,,25.802,17.2013,38.703,202.629,135.086,303.943,0.000391613,0.000261075,0.000587419,202.629,135.086,303.943,0.000391613,0.000261075,0.000587419
2020-03-10,08001,Adams,CO,0,0,,,,,,34.8157,23.2105,52.2237,232.517,155.011,348.776,0.000449377,0.000299585,0.000674066,237.444,158.296,356.167,0.0004589,0.000305933,0.00068835
2020-03-11,08001,Adams,CO,0,0,,,,,,48.4022,32.2682,72.6034,275.196,183.464,412.794,0.000531861,0.000354574,0.000797792,285.847,190.564,428.77,0.000552445,0.000368297,0.000828668
2020-03-12,08001,Adams,CO,2,0,0.285714,0,17.2459,11.4972,25.8688,63.6987,42.4658,95.5481,330.936,220.624,496.405,0.000639588,0.000426392,0.000959382,349.545,233.03,524.318,0.000675553,0.000450369,0.00101333
2020-03-13,08001,Adams,CO,3,0,0.428571,0,15.2117,10.1411,22.8176,84.8897,56.5932,127.335,406.857,271.238,610.286,0.000786317,0.000524212,0.00117948,434.435,289.623,651.653,0.000839616,0.000559744,0.00125943
2020-03-14,08001,Adams,CO,6,0,0.857143,0,14.5,9.66667,21.75,111.766,74.5109,167.65,508.363,338.909,762.545,0.000982494,0.000654996,0.00147374,546.202,364.134,819.303,0.00105562,0.000703749,0.00158344
2020-03-15,08001,Adams,CO,6,0,0.857143,0,14,9.33333,21,140.825,93.8834,211.238,637.542,425.028,956.314,0.00123215,0.000821436,0.00184823,687.027,458.018,1030.54,0.00132779,0.000885194,0.00199169
