date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,23001,Androscoggin,ME,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,23001,Androscoggin,ME,0,0,,,,,,,,2.03945,1.35963,3.05918,2.03945,1.35963,3.05918,1.88355e-05,1.2557e-05,2.82533e-05,2.03945,1.35963,3.05918,1.88355e-05,1.2557e-05,2.82533e-05
2020-02-18,23001,Androscoggin,ME,0,0,,,,,,,,2.00918,1.33945,3.01376,4.04863,2.69908,6.07294,3.73914e-05,2.49275e-05,5.60871e-05,4.04863,2.69908,6.07294,3.73914e-05,2.49275e-05,5.60871e-05
2020-02-19,23001,Androscoggin,ME,0,0,,,,,,,1.00996,1.9789,1.31926,2.96835,6.02753,4.01834,9.04129,5.56677e-05,3.71117e-05,8.35015e-05,6.02753,4.01834,9.04129,5.56677e-05,3.71117e-05,8.35015e-05
2020-02-20,23001,Androscoggin,ME,0,0,,,,,,,1.09408,1.94862,1.29908,2.92293,7.97615,5.31742,11.9642,7.36643e-05,4.91094e-05,0.000110496,7.97615,5.31742,11.9642,7.36643e-05,4.91094e-05,0.000110496
2020-02-21,23001,Androscoggin,ME,0,0,,,,,,,1.17885,1.91834,1.27889,2.87751,9.89449,6.59632,14.8417,9.13813e-05,6.09207e-05,0.000137072,9.89449,6.59632,14.8417,9.13813e-05,6.09207e-05,0.000137072
2020-02-22,23001,Androscoggin,ME,0,0,,,,,,,1.2472,2.05976,1.37317,3.08964,11.9543,7.96949,17.9314,0.000110404,7.36028e-05,0.000165607,11.9543,7.96949,17.9314,0.000110404,7.36028e-05,0.000165607
2020-02-23,23001,Androscoggin,ME,0,0,,,,,,,1.30874,2.36722,1.57815,3.55083,14.3215,9.54764,21.4822,0.000132267,8.81779e-05,0.000198401,14.3215,9.54764,21.4822,0.000132267,8.81779e-05,0.000198401
2020-02-24,23001,Androscoggin,ME,0,0,,,,,,,1.34364,2.66829,1.77886,4.00244,16.9898,11.3265,25.4847,0.00015691,0.000104607,0.000235365,16.9898,11.3265,25.4847,0.00015691,0.000104607,0.000235365
2020-02-25,23001,Androscoggin,ME,0,0,,,,,,,1.3486,2.82988,1.88659,4.24482,19.8196,13.2131,29.7295,0.000183046,0.00012203,0.000274569,19.8196,13.2131,29.7295,0.000183046,0.00012203,0.000274569
2020-02-26,23001,Androscoggin,ME,0,0,,,,,,,1.37748,2.98282,1.98855,4.47423,22.8025,15.2016,34.2037,0.000210594,0.000140396,0.000315891,22.8025,15.2016,34.2037,0.000210594,0.000140396,0.000315891
2020-02-27,23001,Androscoggin,ME,0,0,,,,,,,1.35143,3.12711,2.08474,4.69066,25.9296,17.2864,38.8944,0.000239474,0.00015965,0.000359212,25.9296,17.2864,38.8944,0.000239474,0.00015965,0.000359212
